Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/projects (unauthorized),19795,19295,280,315.27387656478993,239.21960000006948,6422.056900002644,41.54533973225562,110.60277378076631,107.8090689618533,280,290,300,310,330,460,580,730,5700,6400,6400
GET,GET /health,4980,0,280,312.9561345582667,241.07010000443552,6304.332300001988,15.0,27.82529999637364,0.0,280,290,300,310,330,440,590,800,5500,6300,6300
,Aggregated,24775,19295,280,314.8079893723561,239.21960000006948,6422.056900002644,36.20948536831483,138.42807377713996,107.8090689618533,280,290,300,310,330,460,580,740,5600,6400,6400
